product_name,original_url,currency,brand_name,quantity_measurement,product_image,price_per_unit,price,is_available,old_price,discount,product_hash,product_id,discount_start,discount_end,category
Gustona Zamrznuti pomfrit tanki Gustona 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Krompir/Zamrznuti-pomfrit-tanki-Gustona-1kg/p/7722132,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/hd4/h14/9189911953438.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,356.99 rsd/Kg,35699,True,,False,10c23c8eaa7a0b44a60bc8f4272f36f5,7722132,,,Smrznuti proizvodi
POLAR FOOD DOO Smrznuti Baby mix  400g Polar Food,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuti-Baby-mix-400g-Polar-Food/p/7509887,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/products/h79/hd4/9143321886750.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,624.98 rsd/Kg,24999,True,,False,822dbab3bdb6c44346a2235263eb5189,7509887,,,Smrznuti proizvodi
Dream&Co Slad.clas.mleko/cok.stap.6x120ml multip.,https://www.maxi.rs/Smrznuti-proizvodi/Slad-clas-mleko-cok-stap-6x120ml-multip-/p/7713865,RSD,,504 gr,https://static.maxi.rs/medias/sys_master/h84/h91/9129078358046.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,1041.65 rsd/Kg,52499,True,,False,9787f47e2e36768aefa6b4f256d2db63,7713865,,,Smrznuti proizvodi
Dream&Co Sladoled Magnum mix 6x120ml multipak,https://www.maxi.rs/Smrznuti-proizvodi/Sladoled-Magnum-mix-6x120ml-multipak/p/7713921,RSD,,504 gr,https://static.maxi.rs/medias/sys_master/h3e/he9/9129077702686.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,1041.65 rsd/Kg,52499,True,,False,c4f2f36c14ea48970f1dfb5bb27adeac,7713921,,,Smrznuti proizvodi
Dream&Co Sladoled bela cok.stap.6x120ml multipak,https://www.maxi.rs/Smrznuti-proizvodi/Sladoled-bela-cok-stap-6x120ml-multipak/p/7713887,RSD,,504 gr,https://static.maxi.rs/medias/sys_master/products/h2b/hdf/9139936002078.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,1041.65 rsd/Kg,52499,True,,False,c8c086243ae6696831bba67b78bb6766,7713887,,,Smrznuti proizvodi
Frikom Smrznuti pomfrit Frikom 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Krompir/Smrznuti-pomfrit-Frikom-1kg/p/7175672,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/h8c/h41/9005563936798.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,458.99 rsd/Kg,45899,True,,False,b2aa68d39b6a272f0a492f34e10b2b13,7175672,,,Smrznuti proizvodi
Frikom Smrznuti brokoli Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Brokoli/Smrznuti-brokoli-Frikom-400g/p/7641084,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h5b/h18/9005546176542.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,674.98 rsd/Kg,26999,True,,False,dea5601c658e320fb35ba02c13d30414,7641084,,,Smrznuti proizvodi
Flora Smrznuto povrce za Flora Baby mix 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuto-povrce-za-Flora-Baby-mix-450g/p/7451841,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/products/h5a/hfd/9143328374814.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,444.42 rsd/Kg,19999,True,,False,43bff4895a94548ae1ba5dced7e75a28,7451841,,,Smrznuti proizvodi
Maxi Zamrznute lazanje bolonjeze Maxi 1kg,https://www.maxi.rs/Gotova-i-polugotova-jela/Polugotove-pice/Zamrznute-lazanje-bolonjeze-Maxi-1kg/p/7726840,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/hcb/h24/9185969143838.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,699.99 rsd/Kg,69999,True,,False,d9c2ff7961c3c39b4a30ef38c343f4a4,7726840,,,Smrznuti proizvodi
Frikom Smrz.zu-zu Frikom 800g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Slana-testa/Smrz-zu-zu-Frikom-800g/p/7630511,RSD,,800 gr,https://static.maxi.rs/medias/sys_master/products/hf4/hb3/9143322607646.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,424.99 rsd/Kg,33999,True,,False,f3c1874e684d3a460a0a7ad31cce1a05,7630511,,,Smrznuti proizvodi
